Node_Nos.,X_Co-ordinate,Y_Co-ordinate,Z_Co-ordinate,DL_Influence_Area_Name,DL_Influence_Surface_Area_sqmt,DL_Surface_U_Value_mt,DL_Surface_v_Value_mt,DL_Red,DL_Green,DL_Blue,DL_%Factor_Per_Floor_Area,DL_Masking,Sunhour/Solar Radiation_Influence_Area_Name,Facad_Bldg_Envelop_Area_sqmt,Facad_Bldg_Envelop_U_Surface_mt,Facad_Bldg_Envelop__V_Surface_mt,Sunhour_Red,Sunhour_Green,Sunhour_Blue,Sunhour_Per_Sqmt_Facad,Solar_Radiatiion_Red,Solar_Radiatiion_Green,Solar_Radiatiion_Blue,Solar_Radiatiion_Per_Sqmt_Facad
159,256.011117,216.394796,7.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
160,264.673175,214.450253,7.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
161,249.293602,230.890485,5,0,0,0,0,0,0,0,0,0,Facad/Bldg_Ext_Envelope,30.000032,10,3,0.517647,0,0.482353,71.433333,0.917647,0.172549,0,207.965004
162,259.193097,215.334136,7.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
163,247.349058,228.945942,10,0,0,0,0,0,0,0,0,0,Facad/Bldg_Ext_Envelope,16.500003,3,5.5,1,0.976471,0,3278,0.917647,0.235294,0,1069.304244
164,262.375078,210.030835,7.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
165,248.409719,227.885281,7.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
166,247.525835,224.880078,7.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
167,245.404515,227.001398,5,0,0,0,0,0,0,0,0,0,Facad/Bldg_Ext_Envelope,30.000032,10,3,0.631373,0.062745,0.368627,1219.8,0.490196,0.607843,0.796078,469.700499
168,246.288398,230.006602,5,0,0,0,0,0,0,0,0,0,Facad/Bldg_Ext_Envelope,54.999951,10,5.5,1,0.752941,0,828.8,0.329412,0.454902,0.690196,378.92244
169,253.889796,218.516117,7.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
170,261.844747,211.621825,7.5,0,0,0,0,0,0,0,0,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
